attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
1,46195,0,9,4,Day Game,Night Game,1,7,8,Sunday,Saturday,91,5,Cloudy,3.033333333,1
0,23963,1,4,1,Day Game,Night Game,0,10,6,Sunday,Saturday,91,6,Cloudy,3,1
1,32527,1,8,3,Day Game,Night Game,2,7,4,Sunday,Saturday,91,16,Sunny,3.25,1
1,37600,1,19,11,Day Game,Night Game,1,15,9,Sunday,Saturday,88,9,Cloudy,4.183333333,0
1,31946,0,7,2,Day Game,Night Game,0,10,5,Sunday,Saturday,90,3,Cloudy,2.866666667,1
1,31618,1,6,5,Night Game,Night Game,1,6,3,Saturday,Friday,94,10,Cloudy,2.966666667,0
1,46737,0,9,2,Day Game,Night Game,0,4,1,Saturday,Friday,89,13,Sunny,2.683333333,0
1,41915,1,14,3,Night Game,Night Game,0,8,4,Saturday,Friday,94,6,Sunny,5.166666667,1
1,33703,0,11,4,Day Game,Night Game,0,3,0,Saturday,Friday,85,7,Cloudy,2.633333333,0
1,15250,1,7,0,Night Game,Night Game,0,10,1,Saturday,Friday,72,13,Sunny,3.516666667,1
1,45304,4,9,2,Day Game,Night Game,1,8,3,Saturday,Friday,93,8,Sunny,3.283333333,1
1,42243,1,8,5,Night Game,Night Game,2,4,2,Saturday,Friday,83,0,In Dome,3.116666667,0
1,41959,0,8,4,Day Game,Night Game,0,9,1,Saturday,Friday,63,12,Cloudy,3.25,0
1,33509,0,11,6,Night Game,Night Game,1,6,0,Saturday,Friday,73,7,Cloudy,2.95,0
1,40035,0,13,6,Night Game,Night Game,0,6,1,Saturday,Friday,76,7,Unknown,3.116666667,0
0,23983,1,6,1,Night Game,Night Game,0,8,2,Saturday,Friday,80,7,Cloudy,3.7,1
1,29442,0,4,1,Night Game,Night Game,0,8,3,Saturday,Friday,73,10,Cloudy,2.75,1
0,27414,0,14,11,Night Game,Night Game,1,9,6,Saturday,Friday,78,0,In Dome,3.05,0
1,50966,1,9,7,Night Game,Night Game,0,10,9,Saturday,Friday,82,6,Sunny,3.4,1
1,31771,0,7,6,Night Game,Night Game,1,16,14,Saturday,Friday,76,6,Cloudy,3.083333333,1
1,33134,1,7,3,Night Game,Night Game,2,8,5,Saturday,Friday,76,1,Cloudy,2.983333333,1
1,40951,0,8,1,Day Game,Day Game,0,14,12,Saturday,Friday,75,12,Unknown,3.133333333,1
1,27732,1,5,1,Night Game,Night Game,1,9,2,Saturday,Friday,81,9,Unknown,2.716666667,1
1,39113,0,7,6,Night Game,Night Game,0,5,2,Saturday,Friday,82,12,Sunny,2.5,0
1,40937,0,7,0,Night Game,Night Game,1,10,5,Tuesday,Monday,81,1,Sunny,2.783333333,1
1,31831,2,8,4,Night Game,Night Game,0,8,3,Saturday,Friday,81,9,Cloudy,2.666666667,0
1,32820,1,3,0,Night Game,Night Game,0,9,5,Saturday,Friday,73,0,In Dome,2.233333333,1
1,33032,0,5,3,Night Game,Night Game,0,8,4,Saturday,Friday,80,7,Cloudy,2.916666667,1
1,27888,1,8,5,Night Game,Night Game,2,11,3,Saturday,Friday,80,4,Cloudy,3.4,0
0,26553,4,16,7,Night Game,Night Game,1,10,5,Saturday,Friday,82,9,Sunny,3.316666667,0
0,20008,1,6,2,Night Game,Night Game,2,7,3,Saturday,Friday,79,0,In Dome,3.9,1
1,30663,1,12,10,Night Game,Day Game,1,9,6,Friday,Sunday,80,10,Cloudy,3.533333333,0
0,13120,1,9,2,Night Game,Day Game,0,4,3,Friday,Thursday,72,0,In Dome,2.7,1
1,41423,0,13,9,Night Game,Night Game,1,8,6,Friday,Sunday,83,4,Unknown,3.816666667,0
